"date","AU_(Other)","JP_(Other)","NZ_(Other)","AU_Affiliates","JP_Affiliates","NZ_Affiliates","AU_Direct","JP_Direct","NZ_Direct","AU_Display","JP_Display","NZ_Display","AU_Email","JP_Email","NZ_Email","JP_Organic Search","NZ_Organic Search","JP_Paid Search","NZ_Paid Search","AU_Paid Social","JP_Paid Social","AU_Referral","JP_Referral","NZ_Referral","AU_Social","JP_Social","NZ_Social","NZ_Paid Social","AU_Other Advertising","JP_Other Advertising","NZ_Other Advertising","AU_SEM"
2020-10-07,0,955.997845,0,3449.885797,0,0,6451.137214,19285.561289,258.574935,0,4189.402257,0,1961.098579,13618.914968,178.746627,17580.952752,932.400795,15280.112244,789.548818,301.567344,255.144942,11815.227546,7040.538499,901.237327,0,1584.807311,0,0,0,0,0,24071.312709
2020-10-08,0,1298.047104,0,3085.456993,286.46186,0,5290.920051,10035.360783,520.162041,0,4340.8126,0,6015.619217,9331.948909,443.125384,16138.199687,894.602355,17042.987475,2133.709552,371.1154,0,11773.618462,6597.079483,544.700047,221.217862,1484.164907,0,0,0,0,0,25179.596983
2020-10-09,0,978.684609,0,1905.790053,0,0,4839.695317,12475.421732,642.030413,0,4801.162864,0,3459.373886,12423.604813,650.594639,18026.78085,1676.387684,15697.285699,770.773196,0,0,8041.857744,7225.293145,730.28342,227.838544,1887.297021,231.147501,0,0,0,0,19597.133484
2020-10-10,0,853.057576,0,1961.551976,62.42309,146.255481,3584.14891,9575.312109,158.049573,0,5555.871709,0,1724.528596,9141.267614,194.511843,17255.217224,952.755701,24048.610826,972.508767,86.569113,178.506167,8532.105174,7889.524928,546.760371,332.12504,1453.816721,0,0,0,0,0,18567.386723
2020-10-11,0,757.537735,0,1927.206134,39.541804,0,5227.971993,10397.723135,166.286548,0,4133.20886,0,1408.930038,8722.074845,223.426381,20434.557298,649.456177,25052.210622,611.591466,49.078413,345.459355,10023.108366,5867.239963,602.561802,0,1494.245659,0,0,0,0,0,27598.428456
2020-10-12,0,1518.821538,0,2746.758587,0,0,7727.935846,9231.384327,371.151574,0,3421.936433,0,1581.713331,5317.672721,624.572274,17570.301447,1219.041877,19010.479434,870.676364,63.525989,189.384434,9810.49605,4908.206919,550.741047,0,722.063627,0,0,0,0,0,28537.948839
2020-10-13,0,1159.348737,0,2775.61631,0,239.35676,7063.588781,7298.27322,529.244392,0,2778.10304,0,1289.570889,9246.969279,277.301249,18748.422946,1086.502898,23926.958961,1725.44853,100.899721,0,7936.217345,4577.093206,1682.293119,259.477024,543.353302,0,0,0,0,0,29018.656443
2020-10-14,0,568.12605,0,4145.180529,0,106.411388,7134.860226,7812.597372,858.664147,0,3955.373549,0,2034.839145,10003.838146,433.596566,16303.605868,1490.636532,17721.531887,1496.719728,0,0,11228.945977,5610.474539,445.579705,129.774561,483.885539,138.334805,0,0,0,0,27713.665486
2020-10-15,0,350.4308,107.076459,2309.030129,0,0,4402.451743,4249.87604,103.914545,0,4872.416085,0,2492.343881,10309.902149,885.095755,16284.754453,1830.984777,16142.016901,1629.306015,0,87.807798,9737.289361,5570.362626,930.115683,0,858.326788,107.076459,0,0,0,0,23609.17878
2020-10-16,0,324.807596,0,2526.513416,0,0,4625.346897,14537.211988,0,0,3055.912111,0,6275.660826,13205.619091,23.31416,16549.080346,120.092437,19148.948827,1119.481248,0,69.085043,8434.988989,9359.250571,350.973799,0,1846.460088,0,0,0,0,0,18743.913129
2020-10-17,70.820792,401.128677,0,2929.094364,0,0,6787.618536,9590.420046,245.463662,0,4840.269073,0,5938.803452,8498.935839,0,22142.620183,486.683872,21275.691519,757.99867,212.433257,358.113319,9128.347633,6689.236344,505.075063,0,1426.25534,0,0,0,0,0,19257.4453
2020-10-18,0,311.321584,0,2256.882383,0,0,5987.375811,7148.287984,118.89452,0,3526.460393,0,2204.466976,11383.787893,180.319325,20921.795459,606.350713,24672.163192,416.784922,368.240516,156.598851,7867.554948,5325.285807,505.958248,0,861.540437,171.732691,0,0,0,0,25371.04072
